Kawasaki,350 S 2 Mach II,1972
Laverda,1000,1972
Laverda,750 SF,1972
Laverda,750 SFC,1972
Maico,MD 125 Super Scort,1972
Maico,MD 250,1972
MBK,125 L,1972
MBK,125 LT,1972
MBK,350,1972
Moto Guzzi,Falcone Sport,1972
Moto Guzzi,V 7 850 GT,1972
Moto Guzzi,V7 750 Sport,1972
Moto Guzzi,V7 850 California,1972
MuZ,ES 250-2 Trophy (with sidecar),1972
MuZ,ETS 150 Trophy Sport,1972
MuZ,ETS 250 Trophy Sport,1972
MV Agusta,150 RSS,1972
Münch,4-1200 TTS,1972
Norton,Commando 750 Interstate,1972
Norton,Commando 750 Roadster,1972
Puch,125 Enduro (5-speed),1972
Puch,125 Enduro (6-speed),1972
Puch,175 Enduro,1972
Suzuki,GT 380 J,1972
Suzuki,GT 550 J,1972
Suzuki,GT 750 J,1972
Suzuki,T 250,1972
Suzuki,T 500,1972
Triumph,T 100 R Daytona,1972
Triumph,T 120 R Bonneville 650,1972
Triumph,T 120 V Bonneville 650,1972
Triumph,T 150 V Trident 750,1972
Triumph,TR 6 R Tiger 650,1972
Yamaha,CS5 Street,1972
Yamaha,DS 7,1972
Yamaha,DT 250,1972
Yamaha,LS 2,1972
Yamaha,R 5 F,1972
Yamaha,TX 750,1972
Yamaha,U7E,1972
Yamaha,XS 2 E,1972
Zweirad-Union,RT 125 E,1972
Zündapp,KS 125 Sport,1972
Benelli,125 2 C,1973
Benelli,250 2 C,1973
Benelli,500 Quattro,1973
Benelli,Tornado 650 S,1973
BMW,R 60-6,1973
BMW,R 75-6,1973
BMW,R 90 S,1973
BMW,R 90-6,1973
Bultaco,Metralla 250,1973
DKW,RT 125 E,1973
Dnepr,MW 750M,1973
Ducati,125 Scrambler,1973
Ducati,250 Mark 3,1973
Ducati,250 Mark 3 D,1973
Ducati,250 Scrambler,1973
Ducati,350 Mark 3,1973
Ducati,350 Mark 3 D,1973
Ducati,350 Scrambler,1973
Ducati,450 Mark 3,1973
Ducati,450 Mark 3 D,1973
Ducati,450 Scrambler,1973
Ducati,750 GT,1973
Ducati,750 S Sport,1973
Ducati,750 SS,1973
Fantic,TX 141 Chopper,1973
Gilera,125 Strada,1973
Harley-Davidson,XLH 1000 Sportster,1973
Hercules,K 125 Military,1973
Hercules,K 125 T,1973
Hercules,W 2000,1973
Honda,CB 100,1973
Honda,CB 125 SS,1973
Honda,CB 250,1973
Honda,CB 350,1973
Honda,CB 350 F,1973
Honda,CB 450 disc,1973
Honda,CB 500 F,1973
Honda,CB 550 Four K,1973
Honda,CB 750 F,1973
Honda,CL350,1973
Honda,MT 250 Elsinore,1973
Honda,SL 125,1973
IZH,Planeta 3,1973
Jawa,250 California,1973
Jawa,350 California,1973
Jawa-CZ,125,1973
Jawa-CZ,175,1973
Kawasaki,100 G 7 T,1973
Kawasaki,100 G5,1973
Kawasaki,250 F 11,1973
Kawasaki,250 S 1 Mach I,1973
Kawasaki,350 F 9,1973
Kawasaki,350 S 2 Mach II,1973
Kawasaki,500 H 1 Mach III,1973
Kawasaki,750 H 2 Mach IV,1973
Kawasaki,900 Z 1 Super 4,1973
Laverda,1000,1973
Laverda,750 SF,1973
MBK,350,1973
Moto Guzzi,250 TS,1973
Moto Guzzi,Falcone,1973
Moto Guzzi,Falcone Sport,1973
Moto Guzzi,V7 750 Sport,1973
Moto Guzzi,V7 850 California,1973
Moto Guzzi,V7 850 GT,1973
Moto Morini,3 1-2 V,1973
MuZ,TS 150,1973
MuZ,TS 250,1973
MV Agusta,350 GT,1973
MV Agusta,350 S,1973
MV Agusta,350 Scrambler,1973
MV Agusta,750 GT,1973
MV Agusta,750 S,1973
MV Agusta,750 SS Daytona,1973
Norton,Commando 850 Roadster,1973
Pannonia,P 10,1973
Pannonia,P 20,1973
Pannonia,T 5,1973
Puch,125 GS (5-speed),1973
Puch,125 GS (6-speed),1973
Puch,175 GS,1973
Puch,VZ50 3P,1973
Suzuki,GT 185,1973
Suzuki,GT 250,1973
Suzuki,GT 380,1973
Suzuki,GT 550,1973
Suzuki,GT 750,1973
Suzuki,T 500,1973
Suzuki,TC 100 K Blazer,1973
Triumph,T 100 R Daytona,1973
Triumph,T 120 R Bonneville 650,1973
Triumph,T 120 V Bonneville 650,1973
Triumph,T 140 V Bonneville 750,1973
Triumph,T 150 V Trident 750,1973
Triumph,TR 7 V Tiger 750,1973
Ural,M 66,1973
Ural,M 66 (with sidecar),1973
Ural,M-63 (with sidecar),1973
Voskhod,2,1973
Yamaha,DT 125,1973
Yamaha,DT 250,1973
Yamaha,DT 360,1973
Yamaha,RD 125,1973
Yamaha,RD 250 (5-speed),1973
Yamaha,RD 250 (6-speed),1973
Yamaha,RD 350 (5-speed),1973
Yamaha,RD 350 (6-speed),1973
Yamaha,TX 500,1973
Yamaha,TX 750,1973
Yamaha,U7E,1973
Zündapp,GS 125,1973
Zündapp,KS 125 Sport,1973
Aermacchi,SS 350,1974
Aermacchi,Z-90,1974
AJS,Stormer Y4 250 Mk 2,1974
Benelli,125 2 C,1974
Benelli,250 2 C,1974
Benelli,500 Ouattro,1974
Benelli,750 Sei,1974
Benelli,Tornado 650 S,1974
BMW,R 60-6,1974
BMW,R 75-6,1974
CZ,400 MX Type 981,1974
CZ,476,1974
Dnepr,K-750 M,1974
Dnepr,MB 650 M,1974
Dnepr,MB-750M,1974
Dnepr,MT-10,1974
Dnepr,MT-9,1974
Dnepr,MW 750M,1974
Ducati,250 Mark 3,1974
Ducati,250 Mark 3 D,1974
Ducati,250 Scrambler,1974
Ducati,350 Mark 3,1974
Ducati,350 Mark 3 D,1974
Ducati,350 Scrambler,1974
Ducati,450 Mark 3,1974
Ducati,450 Mark 3 D,1974
Fantic,TX 141 Chopper,1974
Gilera,150 Strada,1974
Harley-Davidson,FLH 1200 Electra Glide,1974
Harley-Davidson,FX 1200,1974
Harley-Davidson,FXE 1200 Super Glide,1974
Harley-Davidson,XLCH 1000 Sportster,1974
Harley-Davidson,XLH 1000 Sportster,1974
Hercules,K 125 Military,1974
Hercules,K 125 S,1974
Hercules,W 2000,1974
Honda,CB 100,1974
Honda,CB 125 SS,1974
Honda,CB 250 disc,1974
Honda,CB 350 disc,1974
Honda,CB 350 F,1974
Honda,CB 360,1974
Honda,CR250M,1974
Honda,SL 125 S,1974
Honda,XL 250,1974
Indian,ME 100,1974
IZH,Jupiter 3,1974
IZH,Jupiter 3 (with sidecar),1974
IZH,Planeta 3,1974
Jawa,250,1974
Jawa,350,1974
